t (s),velocity (km/h)
42.81973977287942, 11.142810249195847
43.01275575408659, 10.529996067771108
43.13785870486901, 9.832833866992964
43.24866417556203, 9.004846166809543
43.42023393663506, 8.41613141948578
43.54891125743985, 7.5544536940795695
43.763373458781146, 6.487315997332914
44.031451210457774, 5.265991104858621
44.0850667607931, 5.968317470086973
44.228041561687306, 4.608420831532079
44.37612260547058, 3.998557601221748
44.648030039314015, 3.39914565610826
44.77440955081871, 2.7370259998136746
45.07159288696309, 2.0848658035302066
45.41779615484262, 1.534513420693706
45.833681574075094, 1.1731344911831911
46.33691987487676, 1.7285384564658344
46.64329444822149, 2.256131503224438
46.856339536751896, 2.6793719180240245
47.09198018476371, 3.1669780698860563
47.3198716310244, 3.653050408243516
47.51646198225392, 4.384640372023036
47.73092418359523, 5.038767869049444
47.98827882520479, 5.896019167784047
